,order_date,product_name,category,branch_store,quantity,sales_value,profit
0,2024-10-08,Water Blaster,Outdoor Toy,Jakarta Central,4,144000,19423
1,2025-03-08,Super Robot X,Action Figure,Medan Center,1,11000,1357
2,2024-07-22,Math Puzzle Cube,Educational Toy,Medan Center,12,1092000,300661
3,2025-08-26,Baby Joy,Doll,Yogyakarta Plaza,5,555000,176115
4,2024-10-11,Coding Robot,Educational Toy,Surabaya Mall,3,105000,35626
5,2025-01-24,Treasure Hunt,Board Game,Jakarta Central,2,106000,33058
6,2025-04-15,City Construction Kit,Building Blocks,Jakarta Central,9,207000,71058
7,2024-10-27,Princess Bella,Doll,Medan Center,14,1232000,313704
8,2024-03-12,Kingdom Strategy,Board Game,Bali Beachwalk,1,92000,14441
9,2024-04-13,Treasure Hunt,Board Game,Bandung Square,7,301000,64219
10,2024-12-29,Kingdom Strategy,Board Game,Surabaya Mall,4,372000,62028
11,2025-10-12,Water Blaster,Outdoor Toy,Medan Center,3,228000,64360
12,2024-10-03,Coding Robot,Educational Toy,Yogyakarta Plaza,15,1335000,363174
13,2024-08-22,Alphabet Blocks,Educational Toy,Jakarta Central,14,168000,50611
14,2024-08-04,Fashion Star,Doll,Jakarta Central,15,1200000,382910
15,2025-05-26,Kingdom Strategy,Board Game,Bali Beachwalk,7,630000,135269
16,2025-07-28,Kingdom Strategy,Board Game,Bandung Square,9,369000,105812
17,2024-08-12,Dream House Doll,Doll,Surabaya Mall,3,219000,48919
18,2025-10-04,Super Robot X,Action Figure,Bandung Square,3,327000,88329
19,2025-01-25,Creative Bricks Set,Building Blocks,Yogyakarta Plaza,10,670000,155626
20,2024-04-27,Creative Bricks Set,Building Blocks,Bali Beachwalk,11,836000,240533
21,2024-10-27,Bubble Machine,Outdoor Toy,Jakarta Central,7,196000,41832
22,2024-07-01,Bubble Machine,Outdoor Toy,Medan Center,9,189000,60032
23,2025-01-17,Kingdom Strategy,Board Game,Bandung Square,13,364000,85483
24,2024-11-27,Creative Bricks Set,Building Blocks,Medan Center,8,80000,10237
25,2024-02-29,Mystery Mansion,Board Game,Bandung Square,4,480000,116082
26,2025-05-12,Super Robot X,Action Figure,Bali Beachwalk,14,224000,77167
27,2025-11-06,Mega Builder,Building Blocks,Bandung Square,8,624000,88159
28,2025-07-06,Space Blocks,Building Blocks,Bandung Square,13,1313000,357749
